id,car_2010,truc_2010,car_2011,truc_2011,car_2012,truc_2012,car_2013,truc_2013,car_2014,truc_2014,car_2015,truc_2015,car_2016,truc_2016,car_2017,truc_2017,car_2018,truc_2018,car_2019,truc_2019,car_2020,truc_2020,car_2021,truc_2021,car_2022,truc_2022,car_2023,truc_2023,datum_exportu,ObjectId,GlobalID,traffic_volume,length_km,accident_count,accident_severity,accidents_per_km,severity_per_km,danger_index
358,5,8,5,8,5,8,5,8,5,8,5,8,6,9,6,9,6,14,6,14,6,14,6,14,6,14,6,14,"Wed, 26 Feb 2025 00:00:00 GMT",16,27ef6b1e-17c4-4498-97cf-25f74476bcf1,20.0,0.2678192891258779,74.0,72.75914179104477,276.30571435509717,271.672522276195,37215.41401043767
291,6,9,6,9,6,9,6,9,6,9,6,9,8,10,8,10,8,10,8,10,8,10,8,10,8,10,8,10,"Wed, 26 Feb 2025 00:00:00 GMT",568,5c3ce871-0598-4b33-99b2-1058f4455f0f,18.0,0.3074063277170707,35.0,74.8035447761194,113.85582157636374,243.33768706598244,37037.699705628984
353,7,7,7,7,8,7,7,6,7,6,7,6,7,7,8,7,9,6,9,6,9,6,9,6,9,6,9,6,"Wed, 26 Feb 2025 00:00:00 GMT",32,cd8ffcf9-f532-4a12-aeb5-6d416e091070,15.0,1.0267486520686073,248.0,206.63106343283584,241.5391532293228,201.24795198565184,36757.6168010323
347,5,5,6,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,5,3,5,3,5,3,5,"Wed, 26 Feb 2025 00:00:00 GMT",50,3eda24f0-e940-4bfc-b8f7-4e82fb41f793,8.0,0.18024930184414523,63.0,19.313059701492534,349.51591687425076,107.14637728911599,36693.96482503972
140,20,7,20,7,20,7,20,7,20,7,20,7,20,7,21,7,21,7,21,7,20,7,20,7,20,7,20,10,"Wed, 26 Feb 2025 00:00:00 GMT",480,97033174-707a-4fd8-9607-0198ec0a07f9,30.0,0.8957711789628362,363.0,359.3238805970149,405.2374183553188,401.133558475342,36633.20168724585
287,10,9,10,9,10,9,10,9,10,9,11,9,15,9,16,11,16,11,16,11,16,11,15,9,15,9,15,9,"Wed, 26 Feb 2025 00:00:00 GMT",571,bc973376-8d68-451a-a626-381975ff7bc9,24.0,0.8602674301567181,199.0,272.70242537313436,231.3234152823238,316.9972683069672,36186.90277476794
296,4,6,4,6,4,6,4,6,4,6,4,9,4,9,4,9,4,9,4,9,5,8,5,8,5,8,5,8,"Wed, 26 Feb 2025 00:00:00 GMT",559,2d626b09-2947-4a6a-9866-49b84d333a35,13.0,0.6726493709517393,128.0,114.87220149253733,190.29230610725367,170.77575101275028,35990.6746075343
235,22,5,22,5,22,5,21,6,23,5,24,5,25,5,25,5,25,5,25,5,25,5,25,5,26,5,26,5,"Wed, 26 Feb 2025 00:00:00 GMT",584,c8d9a72a-ab57-4ca9-9c06-d6fdddde99be,31.0,1.3244350640414382,328.0,539.0137126865671,247.65276071680455,406.9763232043989,35967.85887798488
440,26,13,26,13,23,14,23,14,22,15,22,17,22,17,23,17,23,17,23,17,24,11,24,11,22,18,22,18,"Wed, 26 Feb 2025 00:00:00 GMT",369,747be03c-e452-4a4d-ba7a-61b9675660ad,40.0,0.4768260272062008,200.0,249.7212686567164,419.4401911569963,523.7156833067038,35870.93721278793
333,5,10,5,10,5,10,4,8,4,8,4,8,6,8,7,13,7,13,7,13,7,13,7,13,7,15,7,15,"Wed, 26 Feb 2025 00:00:00 GMT",245,dbed97a8-0f7f-4a24-98b0-9d6d2f6342e6,22.0,0.19236551287732925,51.0,55.30466417910448,265.1202870886868,287.49781263740374,35802.96545920345
